"Date","Price","Open","High","Low","Change %"
"07/28/2022","139.47","147.96","147.96","139.47","-4.46%"
"07/27/2022","145.98","141.96","145.98","141.96","4.67%"
"07/26/2022","139.47","134.96","139.47","134.96","5.28%"
"07/25/2022","132.48","134.95","134.95","132.48","-3.63%"
"07/22/2022","137.47","146.94","146.94","137.47","-7.10%"
"07/21/2022","147.98","149.94","149.94","147.98","-1.00%"
"07/20/2022","149.47","159.94","159.94","149.47","-6.28%"
"07/19/2022","159.48","165.93","165.93","159.48","-3.90%"
"07/18/2022","165.96","172.90","172.90","165.96","-1.47%"
"07/15/2022","168.44","162.41","168.44","162.41","2.25%"
"07/14/2022","164.73","158.98","164.73","158.98","3.94%"
"07/13/2022","158.48","156.94","158.48","156.94","1.29%"
"07/12/2022","156.46","141.45","156.46","141.45","6.64%"
"07/11/2022","146.72","139.96","146.72","139.96","1.55%"
"07/08/2022","144.48","144.45","144.48","144.45","0.17%"
"07/07/2022","144.23","147.45","147.45","144.23","-2.69%"
"07/06/2022","148.22","159.89","159.89","148.22","-4.02%"
"07/05/2022","154.43","140.96","154.43","140.96","3.67%"
"07/04/2022","148.96","136.96","149.93","136.96","-0.65%"
"07/01/2022","149.93","136.46","149.93","136.46","7.31%"
"06/30/2022","139.72","126.47","139.72","126.47","9.39%"
"06/29/2022","127.73","119.47","127.73","119.47","4.49%"
"06/28/2022","122.24","113.48","122.24","113.48","1.24%"
"06/27/2022","120.74","112.98","120.74","112.98","3.65%"
"06/24/2022","116.49","112.99","116.49","112.99","-0.85%"
"06/23/2022","117.49","108.99","117.49","108.99","5.86%"
"06/22/2022","110.99","102.99","110.99","102.99","8.82%"
"06/21/2022","101.99","90.70","101.99","90.70","-1.21%"
"06/20/2022","103.24","90.40","103.24","90.40","0.78%"
"06/17/2022","102.44","90.80","102.44","90.80","0.69%"
"06/16/2022","101.74","90.50","101.74","90.50","12.11%"
"06/15/2022","90.75","93.00","93.00","90.75","-2.42%"
"06/14/2022","93.00","86.50","93.00","86.50","4.79%"
"06/13/2022","88.75","81.51","88.75","81.51","9.91%"
